시설명,구분,소재지,위도,경도
중구,장애인주간보호시설,"중구 명륜로24길 9, 1F ",35.859877,128.5949417
서문,장애인주간보호시설,"중구 달성공원로4길 30, 2F ",35.871405,128.5811949
사랑,장애인주간보호시설,"중구 달성공원로4길 30, 3F ",35.871405,128.5811949
카리타스시각장애인,장애인주간보호시설,중구 재마루1길 9-16,35.8653049,128.5878281
샬롬,장애인주간보호시설,중구 국채보상로 489. 2층,35.8708663,128.5843661
더불어,장애인주간보호시설,동구 갓바위로 35-7 ,35.9608194,128.711062
SOS아동복지센터,장애인주간보호시설,동구 해동로 21 9,35.8956415,128.6383896
동촌,장애인주간보호시설,동구 입석로 5 ,35.8935077,128.6450799
한사랑,장애인주간보호시설,동구 율하동로28길 30-1,35.8713696,128.7059555
동구장애인사회재활센터,장애인주간보호시설,동구 안심로22길 40 403호,35.8635499,128.6956771
여기서 함께,장애인주간보호시설,동구 동대구로 83길 11-1 보원덴탈빌딩 4층,35.8688651,128.6245138
마실(장애인시간제활동센터),장애인주간보호시설,"동구 율하동로28길30-1,4층",35.8713696,128.7059555
청암낮생활지원센터,장애인주간보호시설,동구 반야월로271-47,35.8727431,128.7204095
서구,장애인주간보호시설,서구 달서로 27길 5 ,35.8744614,128.5704325
서대구,장애인주간보호시설,서구 통학로 175-6 ,35.8760294,128.5625439
은동이,장애인주간보호시설,서구 국채보상로 56길 7,35.8709473,128.5615113
더불어남구,장애인주간보호시설,남구 명덕로14길 68 ,35.8556977,128.5765087
남구,장애인주간보호시설,남구 양지로 65 ,35.8511336,128.5773459
밀알,장애인주간보호시설,남구 성당로60길 15 ,35.8584963,128.5754752
꿈터,장애인주간보호시설,남구 현충로19길 29 ,35.8411139,128.5781736
보경,장애인주간보호시설,남구 대봉로 109,35.8486568,128.6036941
대명,장애인주간보호시설,남구 현충로 236,35.8537142,128.5834398
시각장애인,장애인주간보호시설,"남구 현충로 206, 안마사협회 4?5층",35.8508296,128.5817866
푸른교실,장애인주간보호시설,"북구 한강로8길 19, 302호",35.895395,128.5183185
읍내,장애인주간보호시설,"북구 칠곡중앙대로 450, 401호",35.9358908,128.5494369
북구,장애인주간보호시설,"북구 칠곡중앙대로 473, 3층",35.9379624,128.5489728
상록,장애인주간보호시설,북구 산격로 31-1 ,35.8931338,128.6052535
강북,장애인주간보호시설,북구 구암로60길 46-17,35.9391363,128.5701657
희망,장애인주간보호시설,북구 칠곡중앙대로254,35.9185925,128.5480404
보담,장애인주간보호시설,북구 연암로 183,35.9001631,128.5953157
아시아재활교육센터,장애인주간보호시설,수성구 노변공원로 49-1 ,35.8380514,128.6986769
화니,장애인주간보호시설,수성구 달구벌대로511길 34 ,35.8621003,128.6419273
황금,장애인주간보호시설,수성구 청수로45길 41 ,35.8434679,128.6318466
한울,장애인주간보호시설,"수성구 들안로 150, 1층",35.843367,128.617152
수성,장애인주간보호시설,수성구 만촌로4길 20-1 ,35.8611949,128.6458613
범물,장애인주간보호시설,수성구 범안로16길 41 ,35.8166418,128.6474033
시지,장애인주간보호시설,수성구 달구벌대로650 길 97-4,35.8302378,128.708378
달서구,장애인주간보호시설,달서구 야외음악당로47길 146 ,35.8589357,128.5636946
달서구성서,장애인주간보호시설,"달서구 신당로 56, 3층 ",35.8524866,128.4978659
달서구상인,장애인주간보호시설,"달서구 상화로 371, B1",35.8092681,128.5530059
예은,장애인주간보호시설,"달서구 월배로68안길 7,1층 ",35.8250964,128.5486884
마루,장애인주간보호시설,달서구 대명천로16길 33 ,35.840515,128.5513988
백향목,장애인주간보호시설,달서구 월배로85길 23 ,35.8330105,128.5514894
나누리,장애인주간보호시설,달서구 성서로 72길 53-8,35.8496298,128.5106412
달성군장애인복지관부설,장애인주간보호시설,달성군 논공읍 논공로 242,35.7233084,128.453719
사랑마을,장애인주간보호시설,달성군 다사읍 달구벌대로126길 14-14,35.8517193,128.4497082
금동원,장애인주간보호시설,달성군 화원읍 명천로33길 64,35.7993949,128.5032236
대구장애인종합 복지관부설,장애인주간보호시설,수성구 파동로51길 26-17 ,35.8266041,128.6073251
달구벌종합 복지관부설,장애인주간보호시설,달서구 달구벌대로 291길 100 ,35.8531974,128.525197
시각장애인 복지관부설,장애인주간보호시설,달서구 달구벌대로 291길 100 ,35.8531974,128.525197
청각언어장애인 복지관부설,장애인주간보호시설,달서구 달구벌대로 291길 100 ,35.8531974,128.525197
대구드림텍,근로사업장,대구광역시 달서구 성서로68길42 ,35.8470823,128.51221
만승자립원,근로사업장,대구광역시 동구 팔공산로 225 ,35.9975339,128.6130593
숲 중증장애인다수고용사업장,근로사업장,대구광역시 수성구 팔현길 136 ,35.8702915,128.6660528
한창,근로사업장,대구광역시 달성군 논공읍 비슬로366길17 ,35.7533526,128.4189589
달성군장애인재활자립작업장,근로사업장,대구광역시 달성군 구지면 달성2차로 221,35.6407908,128.4287219
행복의 일터,근로사업장,대구광역시 중구 달성공원로4길 30 ,35.871405,128.5811949
남산보호작업장,보호작업장,대구광역시 중구 태평로131 ,35.875833,128.5921559
마중물 일터,보호작업장,대구광역시 중구 명륜로11길 41 ,35.8636874,128.5901652
다사랑보호작업장,보호작업장,"대구광역시 중구 달구벌대로443길 26-11, 1층 ",35.8639923,128.6059641
자유보호작업장,보호작업장,대구광역시 동구 팔공산로 225 ,35.9975339,128.6130593
일심보호작업장,보호작업장,대구광역시 동구 반야월북로27길33 ,35.8762391,128.7123932
더불어보호작업장,보호작업장,대구광역시 동구 팔공산로 1675 ,35.9557316,128.6915645
제일장애인보호작업장,보호작업장,대구광역시 동구 송라로2길17-4 ,35.8699871,128.621273
동행보호작업장,보호작업장,"대구광역시 동구 동촌로54, 3층 ",35.8891322,128.6483164
늘푸른보호작업장,보호작업장,대구광역시 동구 안심로65길31 ,35.8700296,128.7202589
서구장애인보호작업장,보호작업장,대구광역시 서구 국채보상로46길 57 ,35.8653959,128.5574843
앞산베네스트,보호작업장,대구광역시 남구 큰골길146 ,35.8357266,128.5836858
더불어남구보호작업장,보호작업장,"대구광역시 남구 대명로276-1, 3층 ",35.8432713,128.5868079
청인보호작업장,보호작업장,"대구광역시 남구 성당로102, 4층, 5층층 ",35.8451485,128.5646392
대구안마수련원,보호작업장,대구광역시 남구 현충로 206 ,35.8508296,128.5817866
어울림보호작업장,보호작업장,대구광역시 남구 중앙대로30길69 ,35.8467338,128.595184
대구전환서비스센터,보호작업장,대구광역시 남구 앞산순환로539 ,35.8334413,128.5837264
성보보호작업장,보호작업장,대구광역시 북구 동북로71길9-29 ,35.8928574,128.6302468
한우리보호작업장,보호작업장,대구광역시 북구 복현로34길 24 ,35.9037477,128.6211172
선린장애인보호작업장,보호작업장,대구광역시 북구 관음동로9길 10-25 ,35.9378197,128.5454776
해인장애인보호작업장,보호작업장,대구광역시 북구 구암로60길 46-15 ,35.9392542,128.570044
반석보호작업장,보호작업장,대구광역시 북구 검단동로4길 22 ,35.9137952,128.6279093
행복한일터보호작업장,보호작업장,대구광역시 북구 태전로19길12-2 ,35.9274191,128.5403157
혜성보호작업장,보호작업장,대구광역시 수성구 청수로45길 41 ,35.8434679,128.6318466
수성보호작업장,보호작업장,"대구광역시 수성구 세진로 59, 2층 ",35.863744,128.6415429
대구시희망드리보호작업장,보호작업장,대구광역시 수성구 파동로51길26-17 ,35.8266041,128.6073251
섬들,보호작업장,대구광역시 달서구 달구벌대로291길103 ,35.8532271,128.5244715
행복누리장애인보호작업장,보호작업장,대구광역시 달서구 성서서로19길 36 ,35.8335259,128.4960327
여성장애인보호작업장,보호작업장,"대구광역시 달서구 월배로 410, 4층 ",35.8308024,128.5520165
대구다운보호작업장,보호작업장,대구광역시 달서구 와룡로58길 37 ,35.8580266,128.5396341
가온보호작업장,보호작업장,"대구광역시 달서구 와룡로5길 11, 2층 ",35.8349142,128.5362779
버팀목중증장애인보호작업장,보호작업장,대구광역시 달서구 성서4차첨단로 370 ,35.8190891,128.5089699
학산보호작업장,보호작업장,대구광역시 달성군 옥포읍 비슬로447길 20,35.7914338,128.4660958
행복울타리,보호작업장,"대구광역시 달성군 화원읍 성화로20, 1층",35.8010007,128.4905425
달성군다사장애인재활작업장,보호작업장,대구광역시 달성군 다사읍 세천로10길24-4,35.8717566,128.4747413
대구안식원,장애유형별거주시설,북구 복현로20길52,35.9036513,128.6222181
성보재활원,장애유형별거주시설,북구 동북로71길 9-29,35.8928574,128.6302468
청구재활원,장애유형별거주시설,경북 경산시 와촌면 소월2길 20,35.9465076,128.8334413
일심재활원,장애유형별거주시설,동구 반야월북로27길 33,35.8762391,128.7123932
자유재활원,장애유형별거주시설,동구 팔공산로 225,35.9975339,128.6130593
요한의 집,장애유형별거주시설,동구 반야월북로27길 33,35.8762391,128.7123932
카리타스남구보금자리,장애유형별거주시설,남구 안지랑로2길 15,35.8323959,128.572208
힘찬누리,장애유형별거주시설,남구 효성로 50-1,35.8378057,128.5990616
카리타스달서구보금자리,장애유형별거주시설,달서구 용산큰못1길 12,35.8591707,128.526648
천혜요양원,중증장애인거주시설,경북 경산시 와촌면 소월2길 20,35.9465076,128.8334413
더불어진인마을,중증장애인거주시설,동구 갓바위로 35-15,35.9615173,128.7104663
선명요육원,중증장애인거주시설,동구 팔공산로 225,35.9975339,128.6130593
노아의집,중증장애인거주시설,서구 국채보상로42길 35 외2곳,35.8670483,128.5548922
인제요양원,중증장애인거주시설,수성구 신천동로84길 21 ,35.8622052,128.6109859
애망요양원,중증장애인거주시설,수성구 파동로51길 56 ,35.8236169,128.6082948
룸비니동산,중증장애인거주시설,수성구 달구벌대로527길 13-12 ,35.8580435,128.6523298
한사랑마을,중증장애인거주시설,달성군 현풍면 현풍서로 115길 20,35.6967698,128.379982
미소마을,중증장애인거주시설,달성군 다사읍 달구벌대로 126길 14-17,35.8517973,128.450008
애망장애영아원,장애영유아거주시설,수성구 파동로51길 56 ,35.8236169,128.6082948
해인장애인단기보호센터,장애인단기거주시설,북구 구암로 60길 46-18,35.9389861,128.5700476
본미소힐링센터,장애인단기거주시설,달서구 구마로26안길32/3,35.8354362,128.539757
마중물그룹홈,장애인공동생활가정,"중구 명륜로24길 9, 3층 ",35.859877,128.5949417
미문의집,장애인공동생활가정,"중구 명륜로11길 41, 2층 ",35.8636874,128.5901652
천사의집,장애인공동생활가정,"중구 명륜로24길 9, 2층 ",35.859877,128.5949417
애호의집,장애인공동생활가정,"동구 반야월북로 57길 37, 동해빌 A동 401호",35.8738691,128.7319298
야베스빌,장애인공동생활가정,"동구 반야월로26길 39-2,  501호",35.871344,128.7014347
한사랑장애인공동생활가정,장애인공동생활가정,"동구 반야월북로 57길 37-3, 동해빌 C동 401호",35.8738986,128.7316582
한사랑장애인공동생활가정2호,장애인공동생활가정,"동구 동호로2길 21-1, 미르빌 301호",35.8649701,128.723859
그레이스홈,장애인공동생활가정,서구 달서로9길 11 미소빌라트 301호,35.8658939,128.5697384
해피스테이,장애인공동생활가정,"서구 달서로 43길 8-13, 진영빌A 202호",35.8821903,128.571076
기쁨의 집,장애인공동생활가정,남구 앞산순환로81길 56-5 캐슬하이츠 502호,35.8344295,128.5707077
꿈여울공동생활가정,장애인공동생활가정,"남구 두류공원로19길 43, 201호 ",35.8446334,128.5668562
나눔공동체,장애인공동생활가정,남구 앞산순환로89길 21,35.8322347,128.5732627
늘푸른집,장애인공동생활가정,남구 앞산순환로 89길 82 대영빌 301호,35.834827,128.5740384
더불어남구장애인공동생활가정,장애인공동생활가정,남구 명덕로 14길 68,35.8556977,128.5765087
무지개그룹홈,장애인공동생활가정,"남구 현충로18길 11,502호",35.8401797,128.5819339
보금자리,장애인공동생활가정,"남구 현충로7길 29-1, 303호",35.8347611,128.5780359
작은예수의집,장애인공동생활가정,남구 안지랑로13길 52-1,35.8361808,128.5684011
주황무지개그룹홈 공동생활가정,장애인공동생활가정,"남구 안지랑로10길 6, 4층 501호",35.833984,128.5716794
 맑은소리A,장애인공동생활가정,남구 안지랑로7길 11 에버그린205호,35.8334626,128.5707335
반석의집,장애인공동생활가정,북구 검단동로 4길22 ,35.9137952,128.6279093
들안길공동생활가정,장애인공동생활가정,"수성구 청수로20길 24-9, 301호 ",35.8389074,128.6197463
참일꾼의 집,장애인공동생활가정,"수성구 효행로 24, 6동 403호 ",35.8762566,128.6497143
청인공동생활가정,장애인공동생활가정,"수성구 고산로 70, 216-1107 ",35.8372257,128.7052598
느티나무공동생활가정,장애인공동생활가정,"달서구 감삼길26-10, 502호",35.8495384,128.5391287
블레싱홈,장애인공동생활가정,"달서구 중흥로 5길 22, 한빛빌 501호",35.8311983,128.556861
하은의집,장애인공동생활가정,"달서구 월배로 80길 86, 4층 502호 ",35.8274381,128.5547017
셋둘삶터,장애인공동생활가정,"달성군 하빈면 하빈남로 54길 27-2, 101호",35.8644033,128.407241
아름다운 집,장애인공동생활가정,"달성군 하빈면 하빈남로 54길 27-2, 102호",35.8644033,128.407241
꿈드림하우스,장애인공동생활가정,"달성군 화원읍 성암로2길 7, 리치빌 102호",35.7995621,128.5106647
대구장애인종합복지관공동생활가정,장애인공동생활가정,"수성구 파동로30길 5, 성원빌라 501호",35.8172487,128.6146877
요한의집,실비장애시설,대구광역시 동구 반야월북로27길 33 ,35.8762391,128.7123932
정심수양원,정신요양시설,대구광역시 동구 팔공산로254길 123 ,35.9727103,128.6893282
더불어주간보호센터,장애인 지역사회 재활시설,대구광역시 동구 갓바위로 35-15 ,35.9615173,128.7104663
동촌장애인주간보호센터,장애인 지역사회 재활시설,대구광역시 동구 입석로 5 ,35.8935077,128.6450799
SOS 아동복지센터,장애인 지역사회 재활시설,대구광역시 동구 해동로 219 ,35.8857513,128.6531941
한사랑주간보호센터,장애인 지역사회 재활시설,대구광역시 동구 율하동로 28길 30-1 ,35.8713696,128.7059555
동구사회재활센터,장애인 지역사회 재활시설,"대구광역시 동구 안심로22길 40, 403호",35.8635499,128.6956771
여기서함께센터,장애인 지역사회 재활시설,"대구광역시 동구 동내로 21, 2층",35.8736134,128.7332841
장애인시간제활동서비스지원센터(마실),장애인 지역사회 재활시설,대구광역시 동구 율하동로 28길 30-1 ,35.8713696,128.7059555
청암 낮생활지원센터,장애인 지역사회 재활시설,대구광역시 동구 반야월로 271-47,35.8727431,128.7204095
동구수화통역센터,장애인 지역사회 재활시설,대구광역시 동구 화랑로41길 41-3 ,35.8811799,128.6448359
장애인생산품판매시설,장애인 생산품 판매시설,대구광역시 동구 해동로 204 ,35.8856064,128.6508577
카리타스 남구 보금자리,생활시설,대구광역시 남구 안지랑로2길 15,35.8323959,128.572208
대구작은예수의집,공동생활가정,대구광역시 남구 안지랑로13길 52-1,35.8361808,128.5684011
늘푸른집,공동생활가정,"대구광역시 남구 앞산순환로89길 82, 대영빌 301호",35.834827,128.5740384
보금자리,공동생활가정,"대구광역시 남구 현충로7길 29-1, 대명하이츠 303호",35.8347611,128.5780359
기쁨의집,공동생활가정,"대구광역시 남구 앞산순환로81길 56-5, 502호",35.8344295,128.5707077
주황무지개그룹홈,공동생활가정,"대구광역시 남구 안지랑로10길 6, 파라다이스 4층 501호",35.833984,128.5716794
꿈여울 공동생활가정,공동생활가정,"대구광역시 남구 두류공원로19길 43, 201호",35.8446334,128.5668562
맑은소리A,공동생활가정,"대구광역시 남구 안지랑로 7길 11, 에버그린 205호",35.8334626,128.5707335
더불어남구장애인주간보호센터,주간보호,대구광역시 남구 명덕로 14길 68,35.8556977,128.5765087
남구장애인주간보호센터,주간보호,대구광역시 남구 양지로 65,35.8511336,128.5773459
밀알장애인주간보호센터,주간보호,대구광역시 남구 성당로 60길 15,35.8584963,128.5754752
꿈터장애인주간보호센터,주간보호,대구광역시 남구 현충로 19길 29,35.8411139,128.5781736
보경주간보호센터,주간보호,대구광역시 남구 대봉로 109,35.8486568,128.6036941
대명주간보호센터,주간보호,"대구광역시 남구 현충로 236, 동호빌딩 4층",35.8537142,128.5834398
대구시각장애인주간보호센터,주간보호,"대구광역시 남구 현충로 206, 4·5층",35.8508296,128.5817866
대구수어통역센터지역지원본부,수어통역센터,대구광역시 남구 대명로 297,35.844613,128.5883134
웰빙전통안마센터,보호작업,"대구광역시 남구 현충로 206, 3층",35.8508296,128.5817866
더불어남구장애인재가복지봉사,재가복지,대구광역시 남구 명덕로 14길 68,35.8556977,128.5765087
밝은내일IL종합지원센터,자립생활체험,대구광역시 남구 남구 양지로 118,35.8515218,128.5800492
성서장애인재활복지센터,복지시설,대구광역시 달서구 달구벌대로243길 24,35.8524613,128.501942
한국지체장애인협회 달서구지회,복지시설,대구광역시 달서구 갈밭남로 71 ,35.8023626,128.5360502
달서구장애인주간단기보호센터,복지시설,대구광역시 달서구 야외음악당로47길 146,35.8589357,128.5636946
대구광역시농아인협회 달서구지회,복지시설,"대구광역시 달서구 갈밭남로 71, 4층",35.8023626,128.5360502
달구벌종합복지관,복지시설,대구광역시 달서구 달구벌대로291길 100,35.8531974,128.525197
달구벌재활스포츠센터,복지시설,대구광역시 달서구 달구벌대로291길 100,35.8531974,128.525197
대구 시각장애인 복지관,복지시설,대구광역시 달서구 달구벌대로291길 100,35.8531974,128.525197
대구청각언어장애인복지관,복지시설,대구광역시 달서구 달구벌대로291길 100,35.8531974,128.525197
달서구상인장애인주간보호센터,복지시설,"대구광역시 달서구 상화로 371, B1",35.8092681,128.5530059
성서장애인주간보호센터,복지시설,대구광역시 달서구 신당로 56,35.8524866,128.4978659
행복누리보호작업장,복지시설,대구광역시 달서구 성서서로19길 36,35.8335259,128.4960327
대구점자도서관,복지시설,대구광역시 달서구 월배로 414,35.8310096,128.5521868
하은의 집,복지시설,"대구광역시 달서구 월배로80길 86, 장인가 502호",35.8274381,128.5547017
느티나무장애인공동생활가정,복지시설,"대구광역시 달서구 감삼길 26-10, 502호",35.8495384,128.5391287
예은장애인주간보호센터,복지시설,"대구광역시 달서구 월배로68안길 7, 1층",35.8250964,128.5486884
마루주간보호센터,복지시설,대구광역시 달서구 대명천로16길 33,35.840515,128.5513988
백향목장애인주간보호센터,복지시설,대구광역시 달서구 월배로85길 23,35.8330105,128.5514894
블레싱홈 ,복지시설,"대구광역시 달서구 중흥로5길 22, 한빛빌 501호",35.8311983,128.556861
나누리장애인주간보호센터,복지시설,대구광역시 달서구 성서로72길 53-8,35.8496298,128.5106412
